001, Mar 28, a, SEA, 7.10
002, Mar 29, a, SEA, 10.10
003, Mar 30, a, SEA, 9.10
004, Mar 31, a, SEA, 4.10
005, Apr 01, a, OAK, 10.07
006, Apr 02, a, OAK, 10.07
007, Apr 03, a, OAK, 10.07
008, Apr 04, a, OAK, 3.37
009, Apr 05, a, ARI, 7.10
010, Apr 06, a, ARI, 8.10
011, Apr 07, a, ARI, 4.10
012, Apr 09, h, TOR, 2.05
013, Apr 11, h, TOR, 7.10
014, Apr 12, h, BAL, 7.10
015, Apr 13, h, BAL, 1.05
016, Apr 14, h, BAL, 1.05
017, Apr 15, h, BAL, 11.05
018, Apr 16, a, NYY, 6.35
019, Apr 17, a, NYY, 6.35
020, Apr 19, a, TBR, 7.10
021, Apr 20, a, TBR, 6.10
022, Apr 21, a, TBR, 2.10
023, Apr 22, h, DET, 7.10
024, Apr 23, h, DET, 7.10
025, Apr 24, h, DET, 7.10
026, Apr 25, h, DET, 7.10
027, Apr 26, h, TBR, 7.10
028, Apr 27, h, TBR, 4.05
029, Apr 28, h, TBR, 1.05
030, Apr 29, h, OAK, 7.10
031, Apr 30, h, OAK, 7.10
032, May 01, h, OAK, 1.05
033, May 02, a, CHW, 8.10
034, May 03, a, CHW, 8.10
035, May 04, a, CHW, 7.10
036, May 05, a, CHW, 2.10
037, May 06, a, BAL, 7.05
038, May 07, a, BAL, 7.05
039, May 08, a, BAL, 7.05
040, May 10, h, SEA, 7.10
041, May 11, h, SEA, 1.05
042, May 12, h, SEA, 1.05
043, May 14, h, COL, 7.10
044, May 15, h, COL, 7.10
045, May 17, h, HOU, 7.10
046, May 18, h, HOU, 7.15
047, May 19, h, HOU, 1.05
048, May 20, a, TOR, 1.07
049, May 21, a, TOR, 7.07
050, May 22, a, TOR, 7.07
051, May 23, a, TOR, 12.37
052, May 24, a, HOU, 8.10
053, May 25, a, HOU, 7.15
054, May 26, a, HOU, 2.10
055, May 27, h, CLE, 4.05
056, May 28, h, CLE, 7.10
057, May 29, h, CLE, 7.10
058, May 30, a, NYY, 7.05
059, May 31, a, NYY, 7.05
060, Jun 01, a, NYY, 7.15
061, Jun 02, a, NYY, 7.05
062, Jun 04, a, KCR, 8.15
063, Jun 05, a, KCR, 8.15
064, Jun 06, a, KCR, 1.15
065, Jun 07, h, TBR, 7.10
066, Jun 08, h, TBR, 1.05
067, Jun 09, h, TBR, 1.05
068, Jun 10, h, TEX, 7.10
069, Jun 11, h, TEX, 7.10
070, Jun 12, h, TEX, 7.10
071, Jun 13, h, TEX, 7.10
072, Jun 14, a, BAL, 7.05
073, Jun 15, a, BAL, 4.05
074, Jun 16, a, BAL, 1.05
075, Jun 17, a, MIN, 8.10
076, Jun 18, a, MIN, 8.10
077, Jun 19, a, MIN, 8.10
078, Jun 21, h, TOR, 7.10
079, Jun 22, h, TOR, 4.05
080, Jun 23, h, TOR, 1.05
081, Jun 24, h, CHW, 7.10
082, Jun 25, h, CHW, 7.10
083, Jun 26, h, CHW, 1.05
084, Jun 29, h, NYY, 1.10
