001, Mar 28, a, SEA, 7:10 pm
002, Mar 29, a, SEA, 10:10 pm
003, Mar 30, a, SEA, 9:10 pm
004, Mar 31, a, SEA, 4:10 pm
005, Apr 01, a, OAK, 10:07 pm
006, Apr 02, a, OAK, 10:07 pm
007, Apr 03, a, OAK, 10:07 pm
008, Apr 04, a, OAK, 3:37 pm
009, Apr 05, a, ARI, 7:10 pm
010, Apr 06, a, ARI, 8:10 pm
011, Apr 07, a, ARI, 4:10 pm
012, Apr 09, h, TOR, 2:05 pm
013, Apr 11, h, TOR, 7:10 pm
014, Apr 12, h, BAL, 7:10 pm
015, Apr 13, h, BAL, 1:05 pm
016, Apr 14, h, BAL, 1:05 pm
017, Apr 15, h, BAL, 11:05 am
018, Apr 16, a, NYY, 6:35 pm
019, Apr 17, a, NYY, 6:35 pm
020, Apr 19, a, TBR, 7:10 pm
021, Apr 20, a, TBR, 6:10 pm
022, Apr 21, a, TBR, 2:10 pm
023, Apr 22, h, DET, 7:10 pm
024, Apr 23, h, DET, 7:10 pm
025, Apr 24, h, DET, 7:10 pm
026, Apr 25, h, DET, 7:10 pm
027, Apr 26, h, TBR, 7:10 pm
028, Apr 27, h, TBR, 4:05 pm
029, Apr 28, h, TBR, 1:05 pm
030, Apr 29, h, OAK, 7:10 pm
031, Apr 30, h, OAK, 7:10 pm
032, May 01, h, OAK, 1:05 pm
033, May 02, a, CHW, 8:10 pm
034, May 03, a, CHW, 8:10 pm
035, May 04, a, CHW, 7:10 pm
036, May 05, a, CHW, 2:10 pm
037, May 06, a, BAL, 7:05 pm
038, May 07, a, BAL, 7:05 pm
039, May 08, a, BAL, 7:05 pm
040, May 10, h, SEA, 7:10 pm
041, May 11, h, SEA, 1:05 pm
042, May 12, h, SEA, 1:05 pm
043, May 14, h, COL, 7:10 pm
044, May 15, h, COL, 7:10 pm
045, May 17, h, HOU, 7:10 pm
046, May 18, h, HOU, 7:15 pm
047, May 19, h, HOU, 1:05 pm
048, May 20, a, TOR, 1:07 pm
049, May 21, a, TOR, 7:07 pm
050, May 22, a, TOR, 7:07 pm
051, May 23, a, TOR, 12:37 pm
052, May 24, a, HOU, 8:10 pm
053, May 25, a, HOU, 7:15 pm
054, May 26, a, HOU, 2:10 pm
055, May 27, h, CLE, 4:05 pm
056, May 28, h, CLE, 7:10 pm
057, May 29, h, CLE, 7:10 pm
058, May 30, a, NYY, 7:05 pm
059, May 31, a, NYY, 7:05 pm
060, Jun 01, a, NYY, 7:15 pm
061, Jun 02, a, NYY, 7:05 pm
062, Jun 04, a, KCR, 8:15 pm
063, Jun 05, a, KCR, 8:15 pm
064, Jun 06, a, KCR, 1:15 pm
065, Jun 07, h, TBR, 7:10 pm
